Quantum 0
Routers, LOCAL, EAST, WEST, NORTH, SOUTH0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 8
Routers, LOCAL, EAST, WEST, NORTH, SOUTH8
Router 0,0,125,0,0,109
Router 1,0,109,0,0,0
Router 2,0,0,0,93,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,77,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,0
Router 11,0,0,0,0,0
Router 12,0,0,0,61,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,0
Router 16,0,0,0,0,0
Router 17,0,0,0,45,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,29,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 9
Routers, LOCAL, EAST, WEST, NORTH, SOUTH9
Router 0,65,1676,0,428,0
Router 1,0,1676,13,0,0
Router 2,428,0,13,1248,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,428,0,0,0,52
Router 6,0,0,13,0,0
Router 7,428,0,13,820,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,26
Router 11,0,0,13,0,0
Router 12,428,0,13,392,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,13
Router 16,0,0,0,0,0
Router 17,29,0,0,363,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,13
Router 21,0,0,13,0,0
Router 22,379,0,13,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 10
Routers, LOCAL, EAST, WEST, NORTH, SOUTH10
Router 0,52,1712,0,0,0
Router 1,0,1712,13,0,0
Router 2,0,1361,13,351,0
Router 3,428,428,13,489,0
Router 4,0,0,0,428,0
Router 5,0,0,0,0,39
Router 6,0,0,13,0,0
Router 7,0,0,13,367,0
Router 8,428,0,13,45,0
Router 9,0,0,0,428,0
Router 10,0,0,0,0,26
Router 11,0,0,13,0,0
Router 12,0,0,13,383,0
Router 13,29,0,13,0,0
Router 14,428,0,13,0,0
Router 15,0,0,0,0,13
Router 16,0,0,13,0,0
Router 17,399,0,13,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 11
Routers, LOCAL, EAST, WEST, NORTH, SOUTH11
Router 0,65,1712,0,428,0
Router 1,0,1712,13,0,0
Router 2,0,1712,13,0,0
Router 3,0,489,13,1223,0
Router 4,428,0,13,45,0
Router 5,0,0,0,428,52
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,1239,0
Router 9,29,0,0,0,0
Router 10,428,0,0,0,52
Router 11,0,0,13,0,0
Router 12,0,0,13,0,0
Router 13,399,0,13,856,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,26
Router 16,0,0,13,0,0
Router 17,0,0,13,0,0
Router 18,428,0,13,428,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,13
Router 21,0,0,13,0,0
Router 22,0,0,13,0,0
Router 23,428,0,13,0,0
Router 24,0,0,0,0,0
Quantum 12
Routers, LOCAL, EAST, WEST, NORTH, SOUTH12
Router 0,52,1175,0,521,0
Router 1,0,1191,0,0,0
Router 2,0,1207,0,0,0
Router 3,0,1223,0,0,0
Router 4,0,0,0,1239,0
Router 5,0,0,0,505,52
Router 6,0,0,13,0,0
Router 7,0,0,13,0,0
Router 8,0,0,13,0,0
Router 9,399,0,13,856,0
Router 10,0,0,0,489,39
Router 11,0,0,0,0,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,856,0
Router 15,428,0,0,45,39
Router 16,0,0,13,0,0
Router 17,0,0,13,0,0
Router 18,0,0,13,0,0
Router 19,428,0,13,428,0
Router 20,29,0,0,0,13
Router 21,0,0,13,0,0
Router 22,0,0,13,0,0
Router 23,0,0,13,0,0
Router 24,428,0,13,0,0
Quantum 13
Routers, LOCAL, EAST, WEST, NORTH, SOUTH13
Router 0,65,1821,0,335,0
Router 1,428,0,13,1377,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,351,52
Router 6,428,0,13,933,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,367,39
Router 11,428,0,13,489,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,383,26
Router 16,428,0,13,45,0
Router 17,0,0,0,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,399,0,0,0,13
Router 21,29,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 14
Routers, LOCAL, EAST, WEST, NORTH, SOUTH14
Router 0,13,671,0,37,0
Router 1,0,336,0,335,0
Router 2,37,135,0,148,0
Router 3,37,37,0,45,0
Router 4,0,0,0,37,0
Router 5,37,0,0,0,13
Router 6,0,0,0,351,0
Router 7,37,0,0,111,0
Router 8,29,0,0,0,0
Router 9,0,0,0,37,0
Router 10,0,0,0,0,13
Router 11,0,0,0,367,0
Router 12,37,0,0,74,0
Router 13,0,0,0,0,0
Router 14,37,0,0,0,0
Router 15,0,0,0,0,13
Router 16,0,0,0,383,0
Router 17,37,0,0,37,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,13
Router 21,399,0,13,0,0
Router 22,37,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 15
Routers, LOCAL, EAST, WEST, NORTH, SOUTH15
Router 0,0,388,0,111,0
Router 1,37,219,0,148,0
Router 2,0,235,0,0,0
Router 3,0,148,0,103,0
Router 4,37,0,0,111,0
Router 5,0,0,0,111,0
Router 6,37,0,0,111,0
Router 7,0,0,0,0,0
Router 8,8,0,0,111,0
Router 9,37,0,0,74,0
Router 10,37,0,0,74,0
Router 11,37,0,0,74,0
Router 12,0,0,0,0,0
Router 13,37,0,0,74,0
Router 14,0,0,0,74,0
Router 15,37,0,0,37,0
Router 16,37,0,0,37,0
Router 17,0,0,0,0,0
Router 18,37,0,0,37,0
Router 19,37,0,0,37,0
Router 20,37,0,0,0,0
Router 21,29,0,0,0,0
Router 22,0,0,0,0,0
Router 23,37,0,0,0,0
Router 24,37,0,0,0,0
Quantum 16
Routers, LOCAL, EAST, WEST, NORTH, SOUTH16
Router 0,0,0,0,0,0
Router 1,0,0,0,0,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,0
Router 11,0,0,0,0,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,0
Router 16,0,0,0,0,0
Router 17,0,0,0,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,8,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 17
Routers, LOCAL, EAST, WEST, NORTH, SOUTH17
Router 0,0,0,0,0,0
Router 1,0,0,0,0,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,0
Router 11,0,0,0,0,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,0
Router 16,0,0,0,0,0
Router 17,0,0,0,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 18
Routers, LOCAL, EAST, WEST, NORTH, SOUTH18
Router 0,0,0,0,0,0
Router 1,0,0,0,0,0
